Order ID,Order Date,Customer ID,Product ID,Warehouse ID,Quantity,Shipping Method,Shipping Status,Delivery Date,Delivery Time,Unit Price,Revenue
O-00032,6/21/2025,C043,P012,W1,35,Air,In Transit,,,,0
O-00033,3/5/2025,C038,P008,W2,43,Ground,Delivered,3/8/2025,3,,0
O-00034,4/13/2025,C096,P013,W1,66,Freight,In Transit,,,,0
O-00035,6/12/2025,C028,P011,W2,49,Air,Pending,,,,0
O-00036,3/29/2025,C025,P001,W2,18,Freight,Delivered,4/1/2025,3,,0
O-00037,3/24/2025,C096,P008,W1,48,Ground,In Transit,,,,0
O-00038,4/30/2025,C054,P013,W1,7,Ground,Delivered,5/4/2025,4,,0
O-00039,1/19/2025,C026,P012,W3,100,Ground,Delivered,1/25/2025,6,,0
O-00040,2/14/2025,C044,P002,W2,65,Freight,Delivered,2/21/2025,7,,0
O-00041,5/27/2025,C053,P009,W1,58,Freight,Pending,,,,0
O-00042,5/30/2025,C042,P008,W2,43,Freight,Delivered,6/6/2025,7,,0
O-00043,2/10/2025,C022,P010,W2,61,Freight,In Transit,,,,0
O-00044,4/9/2025,C045,P006,W2,54,Ground,Delivered,4/11/2025,2,,0
O-00045,5/18/2025,C066,P003,W3,97,Air,In Transit,,,,0
O-00046,1/9/2025,C090,P009,W1,35,Air,In Transit,,,,0
O-00047,3/28/2025,C098,P014,W3,30,Ground,Delivered,4/4/2025,7,,0
O-00048,5/19/2025,C064,P008,W3,37,Ground,Pending,,,,0
O-00049,6/11/2025,C010,P007,W2,12,Ground,Pending,,,,0
O-00050,3/23/2025,C095,P005,W3,41,Air,Delivered,3/28/2025,5,,0
O-00051,4/11/2025,C045,P010,W2,37,Air,Pending,,,,0
O-00052,5/27/2025,C024,P015,W2,44,Freight,In Transit,,,,0
O-00053,6/13/2025,C040,P011,W1,24,Air,In Transit,,,,0
O-00054,3/28/2025,C037,P006,W1,82,Air,Pending,,,,0
O-00055,1/1/2025,C023,P008,W2,51,Air,Delivered,1/5/2025,4,,0
O-00056,3/5/2025,C084,P007,W3,57,Freight,In Transit,,,,0
O-00057,6/30/2025,C007,P012,W2,22,Air,Delivered,7/4/2025,4,,0
O-00058,2/23/2025,C060,P007,W1,67,Freight,Pending,,,,0
O-00059,2/20/2025,C073,P005,W1,51,Air,In Transit,,,,0
O-00060,4/2/2025,C023,P013,W3,13,Ground,In Transit,,,,0
O-00061,2/21/2025,C084,P012,W1,73,Freight,Delivered,2/23/2025,2,,0
O-00062,1/25/2025,C028,P012,W3,75,Freight,In Transit,,,,0
O-00063,4/16/2025,C093,P006,W3,100,Ground,Pending,,,,0
O-00064,6/6/2025,C029,P006,W1,96,Air,In Transit,,,,0
O-00065,4/22/2025,C007,P008,W3,100,Air,Pending,,,,0
O-00066,5/23/2025,C006,P008,W3,71,Ground,In Transit,,,,0
O-00067,2/27/2025,C066,P005,W1,56,Freight,Pending,,,,0
O-00068,1/28/2025,C015,P014,W3,93,Air,Pending,,,,0
O-00069,5/18/2025,C063,P003,W1,46,Freight,Pending,,,,0
O-00070,4/3/2025,C019,P005,W1,45,Ground,Pending,,,,0
O-00071,1/6/2025,C033,P013,W1,35,Freight,Pending,,,,0
O-00072,4/14/2025,C024,P011,W2,62,Ground,In Transit,,,,0
O-00073,1/8/2025,C048,P015,W3,68,Freight,Delivered,1/10/2025,2,,0
O-00074,2/3/2025,C094,P006,W2,65,Ground,In Transit,,,,0
O-00075,2/10/2025,C030,P002,W2,85,Air,Pending,,,,0
O-00076,3/29/2025,C041,P002,W1,73,Ground,In Transit,,,,0
O-00077,4/21/2025,C049,P010,W2,76,Ground,Pending,,,,0
O-00078,6/19/2025,C001,P009,W1,16,Freight,In Transit,,,,0
O-00079,6/21/2025,C100,P003,W2,64,Freight,Delivered,6/26/2025,5,,0
O-00080,3/30/2025,C072,P006,W3,22,Freight,Pending,,,,0
O-00081,5/11/2025,C090,P015,W1,34,Ground,Pending,,,,0
O-00082,2/26/2025,C083,P012,W1,100,Freight,Pending,,,,0
O-00083,3/2/2025,C096,P013,W1,49,Air,Pending,,,,0
O-00084,4/5/2025,C011,P004,W2,38,Freight,In Transit,,,,0
O-00085,3/5/2025,C046,P009,W3,15,Freight,Delivered,3/10/2025,5,,0
O-00086,6/12/2025,C082,P011,W2,32,Ground,Pending,,,,0
O-00087,5/4/2025,C005,P007,W2,8,Air,Delivered,5/10/2025,6,,0
O-00088,1/26/2025,C078,P001,W1,66,Freight,Pending,,,,0
O-00089,6/18/2025,C059,P008,W1,51,Freight,Pending,,,,0
O-00090,5/22/2025,C029,P015,W1,76,Air,Pending,,,,0
O-00091,1/26/2025,C076,P011,W1,23,Freight,In Transit,,,,0
O-00092,6/19/2025,C004,P003,W3,96,Freight,Delivered,6/22/2025,3,,0
O-00093,4/22/2025,C091,P010,W3,64,Freight,Pending,,,,0
O-00094,3/2/2025,C089,P011,W1,81,Ground,Delivered,3/4/2025,2,,0
O-00095,1/29/2025,C083,P001,W2,4,Freight,Delivered,2/3/2025,5,,0
O-00096,4/17/2025,C067,P011,W3,44,Freight,In Transit,,,,0
O-00097,6/15/2025,C097,P004,W3,22,Freight,Delivered,6/22/2025,7,,0
O-00098,6/12/2025,C023,P005,W3,29,Ground,In Transit,,,,0
O-00099,1/13/2025,C085,P002,W1,48,Freight,Delivered,1/18/2025,5,,0
O-00100,1/22/2025,C100,P012,W2,55,Freight,In Transit,,,,0
O-00101,4/30/2025,C008,P009,W2,48,Ground,Pending,,,,0
O-00102,2/24/2025,C016,P012,W2,56,Ground,Delivered,2/27/2025,3,,0
O-00103,5/6/2025,C049,P002,W3,86,Ground,In Transit,,,,0
O-00104,1/13/2025,C026,P012,W1,29,Ground,Pending,,,,0
O-00105,1/16/2025,C054,P006,W2,43,Freight,Pending,,,,0
O-00106,5/7/2025,C084,P008,W2,44,Freight,Delivered,5/9/2025,2,,0
O-00107,3/17/2025,C062,P009,W3,83,Freight,In Transit,,,,0
O-00108,3/9/2025,C070,P006,W1,9,Ground,Pending,,,,0
O-00109,3/30/2025,C011,P002,W3,53,Freight,In Transit,,,,0
O-00110,3/19/2025,C062,P008,W3,82,Ground,Pending,,,,0
O-00111,4/24/2025,C071,P012,W3,3,Air,Pending,,,,0
O-00112,4/8/2025,C003,P015,W3,87,Freight,Pending,,,,0
O-00113,3/19/2025,C094,P001,W3,87,Air,Delivered,3/23/2025,4,,0
O-00114,5/8/2025,C087,P002,W1,82,Air,Pending,,,,0
O-00115,1/16/2025,C032,P005,W1,38,Ground,Delivered,1/22/2025,6,,0
O-00116,4/13/2025,C025,P002,W2,43,Air,Pending,,,,0
O-00117,3/13/2025,C085,P003,W3,20,Ground,Delivered,3/17/2025,4,,0
O-00118,2/2/2025,C063,P015,W3,83,Freight,In Transit,,,,0
O-00119,2/16/2025,C079,P004,W3,41,Freight,In Transit,,,,0
O-00120,4/4/2025,C095,P015,W2,43,Freight,In Transit,,,,0
O-00121,1/17/2025,C056,P009,W3,55,Ground,Pending,,,,0
O-00122,6/26/2025,C036,P013,W2,86,Freight,In Transit,,,,0
O-00123,5/11/2025,C028,P010,W2,74,Air,In Transit,,,,0
O-00124,1/4/2025,C010,P007,W2,17,Freight,Pending,,,,0
O-00125,2/7/2025,C018,P009,W2,71,Freight,In Transit,,,,0
O-00126,4/26/2025,C075,P004,W3,50,Air,Delivered,5/1/2025,5,,0
O-00127,3/4/2025,C046,P008,W1,53,Freight,Pending,,,,0
O-00128,6/24/2025,C095,P007,W2,32,Freight,Pending,,,,0
O-00129,6/25/2025,C003,P008,W2,50,Air,Pending,,,,0
O-00130,4/9/2025,C099,P004,W3,67,Freight,Delivered,4/11/2025,2,,0
O-00131,1/7/2025,C007,P009,W2,12,Ground,In Transit,,,,0
O-00132,2/14/2025,C029,P003,W2,49,Air,In Transit,,,,0
O-00133,1/12/2025,C056,P001,W2,24,Freight,Delivered,1/16/2025,4,,0
O-00134,5/17/2025,C078,P001,W2,12,Freight,In Transit,,,,0
O-00135,5/15/2025,C019,P001,W3,97,Ground,Pending,,,,0
O-00136,3/1/2025,C100,P006,W3,12,Ground,Delivered,3/4/2025,3,,0
O-00137,6/30/2025,C065,P005,W3,98,Air,In Transit,,,,0
O-00138,1/6/2025,C094,P014,W2,48,Air,Pending,,,,0
O-00139,2/3/2025,C047,P015,W1,60,Air,In Transit,,,,0
O-00140,2/7/2025,C037,P003,W1,31,Ground,In Transit,,,,0
O-00141,4/6/2025,C093,P010,W1,45,Ground,Pending,,,,0
O-00142,4/24/2025,C078,P001,W3,29,Ground,In Transit,,,,0
O-00143,4/17/2025,C041,P001,W2,45,Freight,Delivered,4/20/2025,3,,0
O-00144,5/5/2025,C092,P008,W3,9,Freight,Pending,,,,0
O-00145,4/30/2025,C010,P005,W1,41,Ground,In Transit,,,,0
O-00146,6/18/2025,C049,P011,W2,20,Freight,In Transit,,,,0
O-00147,2/4/2025,C089,P013,W3,34,Freight,Pending,,,,0
O-00148,5/15/2025,C046,P010,W2,43,Freight,Delivered,5/21/2025,6,,0
O-00149,5/16/2025,C013,P005,W2,39,Air,Delivered,5/20/2025,4,,0
O-00150,5/12/2025,C050,P003,W1,5,Air,In Transit,,,,0
O-00151,3/25/2025,C068,P003,W3,44,Ground,Delivered,3/29/2025,4,,0
O-00152,4/30/2025,C007,P010,W3,49,Freight,Delivered,5/4/2025,4,,0
O-00153,1/29/2025,C085,P011,W2,56,Freight,Delivered,2/1/2025,3,,0
O-00154,2/7/2025,C051,P008,W1,59,Ground,Delivered,2/9/2025,2,,0
O-00155,6/4/2025,C001,P011,W3,56,Air,In Transit,,,,0
O-00156,6/1/2025,C100,P011,W2,83,Freight,Delivered,6/3/2025,2,,0
O-00157,5/27/2025,C001,P010,W2,28,Freight,In Transit,,,,0
O-00158,5/17/2025,C034,P009,W2,99,Ground,Delivered,5/23/2025,6,,0
O-00159,6/23/2025,C052,P002,W2,69,Ground,Delivered,6/26/2025,3,,0
O-00160,3/4/2025,C027,P013,W1,97,Ground,Pending,,,,0
O-00161,6/21/2025,C057,P012,W2,3,Freight,Delivered,6/24/2025,3,,0
O-00162,5/17/2025,C032,P006,W3,75,Ground,Pending,,,,0
O-00163,2/28/2025,C098,P001,W2,82,Freight,Pending,,,,0
O-00164,4/24/2025,C056,P009,W1,92,Ground,In Transit,,,,0
O-00165,6/25/2025,C019,P009,W3,17,Freight,Pending,,,,0
O-00166,4/4/2025,C002,P010,W2,58,Freight,Delivered,4/11/2025,7,,0
O-00167,1/20/2025,C093,P009,W2,86,Air,In Transit,,,,0
O-00168,6/11/2025,C055,P008,W1,97,Ground,Pending,,,,0
O-00169,1/25/2025,C077,P002,W1,86,Ground,Delivered,1/30/2025,5,,0
O-00170,1/23/2025,C038,P006,W2,52,Air,Pending,,,,0
O-00171,2/13/2025,C084,P007,W2,7,Freight,Pending,,,,0
O-00172,5/14/2025,C069,P011,W3,71,Freight,In Transit,,,,0
O-00173,2/10/2025,C052,P012,W2,61,Freight,Delivered,2/15/2025,5,,0
O-00174,6/12/2025,C081,P013,W3,57,Freight,In Transit,,,,0
O-00175,1/3/2025,C023,P006,W2,7,Air,In Transit,,,,0
O-00176,2/7/2025,C063,P006,W2,83,Ground,Pending,,,,0
O-00177,4/13/2025,C031,P011,W1,7,Freight,In Transit,,,,0
O-00178,3/23/2025,C013,P011,W1,4,Ground,In Transit,,,,0
O-00179,3/6/2025,C075,P003,W1,87,Air,In Transit,,,,0
O-00180,1/9/2025,C060,P002,W1,26,Freight,In Transit,,,,0
O-00181,5/9/2025,C086,P011,W3,53,Air,Pending,,,,0
O-00182,5/1/2025,C005,P008,W3,23,Ground,Pending,,,,0
O-00183,6/5/2025,C076,P004,W3,68,Air,Pending,,,,0
O-00184,4/30/2025,C019,P007,W3,39,Freight,In Transit,,,,0
O-00185,5/26/2025,C017,P007,W1,58,Ground,Pending,,,,0
O-00186,6/15/2025,C040,P002,W2,41,Air,Delivered,6/17/2025,2,,0
O-00187,5/18/2025,C056,P001,W2,18,Ground,In Transit,,,,0
O-00188,2/4/2025,C059,P002,W2,48,Air,Delivered,2/10/2025,6,,0
O-00189,4/2/2025,C050,P003,W3,50,Freight,In Transit,,,,0
O-00190,2/11/2025,C041,P010,W1,90,Ground,In Transit,,,,0
O-00191,3/24/2025,C011,P010,W3,30,Air,In Transit,,,,0
O-00192,4/8/2025,C023,P012,W3,33,Air,Pending,,,,0
O-00193,5/24/2025,C039,P005,W3,35,Freight,In Transit,,,,0
O-00194,2/9/2025,C019,P010,W1,68,Ground,Delivered,2/16/2025,7,,0
O-00195,6/27/2025,C053,P005,W2,13,Freight,Delivered,6/29/2025,2,,0
O-00196,6/9/2025,C035,P008,W2,72,Freight,Delivered,6/15/2025,6,,0
O-00197,6/19/2025,C001,P011,W3,17,Freight,Delivered,6/23/2025,4,,0
O-00198,3/16/2025,C074,P002,W1,40,Air,Delivered,3/18/2025,2,,0
O-00199,2/8/2025,C048,P008,W3,13,Freight,Pending,,,,0
O-00200,1/2/2025,C096,P013,W1,14,Air,Delivered,1/7/2025,5,,0
O-00201,5/27/2025,C042,P002,W3,100,Freight,In Transit,,,,0
O-00202,3/17/2025,C002,P008,W3,18,Ground,In Transit,,,,0
O-00203,5/30/2025,C071,P004,W3,61,Freight,In Transit,,,,0
O-00204,5/7/2025,C074,P005,W3,73,Freight,In Transit,,,,0
O-00205,5/12/2025,C035,P001,W2,33,Freight,In Transit,,,,0
O-00206,2/2/2025,C058,P006,W3,48,Air,Delivered,2/7/2025,5,,0
O-00207,1/11/2025,C041,P008,W2,70,Ground,Delivered,1/17/2025,6,,0
O-00208,3/18/2025,C076,P013,W3,32,Freight,Pending,,,,0
O-00209,2/16/2025,C006,P011,W1,70,Ground,Delivered,2/22/2025,6,,0
O-00210,6/4/2025,C081,P005,W3,67,Ground,Pending,,,,0
O-00211,2/4/2025,C097,P013,W2,91,Air,In Transit,,,,0
O-00212,6/28/2025,C081,P015,W1,67,Air,Pending,,,,0
O-00213,1/18/2025,C075,P008,W3,22,Freight,Pending,,,,0
O-00214,5/9/2025,C057,P012,W2,55,Air,Pending,,,,0
O-00215,3/9/2025,C034,P006,W1,89,Air,In Transit,,,,0
O-00216,3/14/2025,C089,P013,W1,22,Ground,Delivered,3/16/2025,2,,0
O-00217,3/3/2025,C042,P010,W1,67,Air,In Transit,,,,0
O-00218,1/18/2025,C075,P013,W3,19,Ground,Delivered,1/20/2025,2,,0
O-00219,6/12/2025,C040,P013,W2,5,Air,In Transit,,,,0
O-00220,4/14/2025,C031,P005,W2,54,Air,Pending,,,,0
O-00221,4/28/2025,C083,P007,W3,61,Freight,Delivered,5/5/2025,7,,0
O-00222,6/1/2025,C075,P002,W1,45,Freight,In Transit,,,,0
O-00223,1/13/2025,C053,P012,W2,78,Ground,Delivered,1/20/2025,7,,0
O-00224,1/14/2025,C016,P009,W1,71,Ground,In Transit,,,,0
O-00225,6/9/2025,C059,P015,W2,71,Freight,In Transit,,,,0
O-00226,2/14/2025,C058,P013,W2,62,Freight,Delivered,2/21/2025,7,,0
O-00227,1/5/2025,C016,P013,W3,34,Air,Pending,,,,0
O-00228,3/16/2025,C078,P011,W1,96,Ground,Pending,,,,0
O-00229,6/5/2025,C035,P009,W3,17,Freight,Pending,,,,0
O-00230,3/6/2025,C084,P001,W2,49,Ground,Pending,,,,0
O-00231,3/31/2025,C046,P008,W1,48,Air,In Transit,,,,0
O-00232,1/29/2025,C019,P011,W1,54,Freight,In Transit,,,,0
O-00233,2/23/2025,C042,P010,W2,65,Freight,Pending,,,,0
O-00234,5/6/2025,C071,P011,W3,42,Freight,Delivered,5/12/2025,6,,0
O-00235,5/26/2025,C040,P010,W2,26,Air,Delivered,6/2/2025,7,,0
O-00236,2/9/2025,C065,P014,W3,62,Air,Pending,,,,0
O-00237,2/25/2025,C097,P002,W2,67,Ground,Delivered,3/2/2025,5,,0
O-00238,5/11/2025,C023,P002,W1,87,Air,In Transit,,,,0
O-00239,6/30/2025,C065,P012,W1,59,Freight,Delivered,7/6/2025,6,,0
O-00240,2/11/2025,C067,P010,W3,94,Ground,In Transit,,,,0
O-00241,5/20/2025,C003,P010,W1,38,Air,In Transit,,,,0
O-00242,1/31/2025,C071,P013,W1,55,Freight,Delivered,2/3/2025,3,,0
O-00243,4/26/2025,C047,P004,W2,51,Ground,Pending,,,,0
O-00244,4/23/2025,C016,P003,W1,75,Freight,In Transit,,,,0
O-00245,4/5/2025,C063,P006,W2,14,Air,In Transit,,,,0
O-00246,1/12/2025,C065,P015,W3,29,Ground,Delivered,1/17/2025,5,,0
O-00247,1/5/2025,C036,P013,W1,49,Freight,Delivered,1/12/2025,7,,0
O-00248,1/10/2025,C035,P003,W1,78,Freight,Delivered,1/16/2025,6,,0
O-00249,6/22/2025,C032,P004,W1,62,Ground,In Transit,,,,0
O-00250,5/16/2025,C059,P013,W2,62,Air,Pending,,,,0
O-00251,6/11/2025,C082,P005,W3,97,Air,Delivered,6/18/2025,7,,0
O-00252,1/24/2025,C059,P006,W2,70,Ground,Delivered,1/27/2025,3,,0
O-00253,2/15/2025,C020,P011,W3,94,Air,Delivered,2/20/2025,5,,0
O-00254,6/23/2025,C082,P013,W1,41,Freight,Pending,,,,0
O-00255,1/16/2025,C019,P007,W2,35,Freight,In Transit,,,,0
O-00256,3/31/2025,C036,P005,W2,63,Ground,Pending,,,,0
O-00257,5/6/2025,C066,P014,W2,33,Ground,In Transit,,,,0
O-00258,3/18/2025,C050,P001,W1,9,Air,Delivered,3/22/2025,4,,0
O-00259,1/30/2025,C014,P003,W3,33,Ground,In Transit,,,,0
O-00260,2/2/2025,C019,P001,W1,21,Air,Delivered,2/7/2025,5,,0
O-00261,2/25/2025,C005,P015,W3,51,Ground,Delivered,3/1/2025,4,,0
O-00262,1/20/2025,C086,P003,W1,48,Air,Pending,,,,0
O-00263,5/2/2025,C082,P001,W1,15,Ground,Delivered,5/6/2025,4,,0
O-00264,5/26/2025,C091,P007,W2,53,Freight,Delivered,5/28/2025,2,,0
O-00265,4/28/2025,C069,P001,W3,40,Freight,Delivered,5/2/2025,4,,0
O-00266,6/14/2025,C031,P006,W3,92,Freight,Delivered,6/21/2025,7,,0
O-00267,5/4/2025,C090,P006,W3,4,Ground,Pending,,,,0
O-00268,5/14/2025,C019,P013,W2,6,Freight,In Transit,,,,0
O-00269,2/23/2025,C032,P013,W1,62,Air,Delivered,2/28/2025,5,,0
O-00270,4/10/2025,C063,P006,W2,94,Air,In Transit,,,,0
O-00271,6/30/2025,C098,P001,W1,84,Air,In Transit,,,,0
O-00272,1/28/2025,C080,P002,W3,100,Air,Delivered,2/1/2025,4,,0
O-00273,4/22/2025,C046,P008,W3,36,Freight,Delivered,4/25/2025,3,,0
O-00274,1/18/2025,C100,P004,W2,1,Ground,Delivered,1/23/2025,5,,0
O-00275,6/29/2025,C051,P015,W1,88,Ground,Pending,,,,0
O-00276,6/16/2025,C088,P007,W2,62,Freight,Pending,,,,0
O-00277,4/23/2025,C054,P013,W2,47,Air,In Transit,,,,0
O-00278,1/5/2025,C061,P003,W3,50,Air,Delivered,1/11/2025,6,,0
O-00279,2/22/2025,C078,P002,W3,72,Ground,In Transit,,,,0
O-00280,1/29/2025,C002,P013,W1,98,Air,Pending,,,,0
O-00281,3/19/2025,C085,P004,W2,39,Ground,Delivered,3/24/2025,5,,0
O-00282,3/12/2025,C058,P008,W1,49,Ground,Delivered,3/19/2025,7,,0
O-00283,6/5/2025,C036,P010,W1,1,Freight,Pending,,,,0
O-00284,4/27/2025,C022,P013,W1,8,Freight,In Transit,,,,0
O-00285,1/9/2025,C084,P002,W1,29,Air,Pending,,,,0
O-00286,3/13/2025,C067,P005,W1,56,Air,Delivered,3/20/2025,7,,0
O-00287,4/2/2025,C096,P002,W2,61,Air,Delivered,4/7/2025,5,,0
O-00288,3/2/2025,C093,P007,W3,76,Ground,In Transit,,,,0
O-00289,3/16/2025,C035,P015,W2,65,Freight,In Transit,,,,0
O-00290,3/16/2025,C001,P006,W3,66,Air,In Transit,,,,0
O-00291,2/1/2025,C091,P010,W2,62,Air,Delivered,2/3/2025,2,,0
O-00292,3/24/2025,C009,P006,W3,4,Air,Delivered,3/27/2025,3,,0
O-00293,3/28/2025,C016,P003,W2,32,Freight,Delivered,4/3/2025,6,,0
O-00294,4/20/2025,C033,P005,W1,58,Ground,Pending,,,,0
O-00295,3/14/2025,C062,P011,W2,85,Ground,In Transit,,,,0
O-00296,1/26/2025,C087,P010,W2,20,Freight,Delivered,1/28/2025,2,,0
O-00297,4/26/2025,C087,P003,W3,21,Ground,Pending,,,,0
O-00298,6/6/2025,C060,P001,W1,77,Freight,Pending,,,,0
O-00299,3/8/2025,C039,P010,W3,69,Ground,Delivered,3/11/2025,3,,0
O-00300,4/11/2025,C006,P014,W2,85,Air,Pending,,,,0
O-00301,2/19/2025,C088,P014,W2,79,Air,Delivered,2/25/2025,6,,0
O-00302,5/3/2025,C032,P002,W2,80,Air,Pending,,,,0
O-00303,2/3/2025,C034,P001,W3,24,Freight,In Transit,,,,0
O-00304,6/17/2025,C016,P012,W1,10,Ground,Delivered,6/22/2025,5,,0
O-00305,1/14/2025,C024,P013,W2,63,Ground,Delivered,1/18/2025,4,,0
O-00306,3/16/2025,C099,P014,W3,96,Ground,Pending,,,,0
O-00307,5/18/2025,C095,P005,W3,87,Air,Pending,,,,0
O-00308,4/16/2025,C042,P003,W3,17,Freight,In Transit,,,,0
O-00309,3/27/2025,C061,P013,W1,98,Ground,In Transit,,,,0
O-00310,4/28/2025,C063,P011,W2,99,Freight,Pending,,,,0
O-00311,4/23/2025,C051,P010,W1,80,Freight,In Transit,,,,0
O-00312,1/9/2025,C002,P013,W3,85,Ground,Delivered,1/11/2025,2,,0
O-00313,5/17/2025,C009,P005,W3,59,Air,Pending,,,,0
O-00314,5/25/2025,C064,P001,W1,65,Ground,In Transit,,,,0
O-00315,5/13/2025,C041,P007,W2,7,Ground,Pending,,,,0
O-00316,1/29/2025,C099,P006,W2,68,Air,Pending,,,,0
O-00317,4/8/2025,C052,P002,W2,31,Freight,In Transit,,,,0
O-00318,6/21/2025,C098,P007,W3,59,Freight,In Transit,,,,0
O-00319,1/25/2025,C043,P012,W2,83,Air,Delivered,1/28/2025,3,,0
O-00320,4/24/2025,C036,P001,W2,28,Freight,Pending,,,,0
O-00321,2/10/2025,C001,P010,W2,40,Ground,Pending,,,,0
O-00322,3/20/2025,C004,P003,W2,54,Ground,In Transit,,,,0
O-00323,6/22/2025,C062,P001,W3,32,Freight,In Transit,,,,0
O-00324,6/25/2025,C055,P006,W1,22,Ground,Delivered,6/29/2025,4,,0
O-00325,3/2/2025,C038,P007,W1,33,Ground,Pending,,,,0
O-00326,1/27/2025,C095,P004,W3,25,Air,In Transit,,,,0
O-00327,2/21/2025,C002,P006,W3,86,Freight,Pending,,,,0
O-00328,3/5/2025,C018,P001,W1,81,Air,In Transit,,,,0
O-00329,5/20/2025,C057,P008,W2,71,Freight,Pending,,,,0
O-00330,2/21/2025,C025,P009,W3,71,Air,In Transit,,,,0
O-00331,5/20/2025,C043,P009,W2,40,Freight,Delivered,5/25/2025,5,,0
O-00332,3/19/2025,C044,P012,W1,52,Freight,Delivered,3/23/2025,4,,0
O-00333,3/26/2025,C011,P008,W1,54,Air,In Transit,,,,0
O-00334,5/6/2025,C089,P015,W2,42,Ground,Delivered,5/12/2025,6,,0
O-00335,1/26/2025,C007,P015,W1,15,Freight,Pending,,,,0
O-00336,4/2/2025,C007,P002,W3,46,Freight,Delivered,4/8/2025,6,,0
O-00337,4/19/2025,C088,P014,W2,8,Ground,Pending,,,,0
O-00338,3/13/2025,C026,P006,W2,74,Ground,In Transit,,,,0
O-00339,2/22/2025,C084,P015,W1,57,Air,Pending,,,,0
O-00340,2/14/2025,C023,P009,W3,93,Ground,In Transit,,,,0
O-00341,2/19/2025,C062,P012,W1,80,Air,Delivered,2/23/2025,4,,0
O-00342,6/20/2025,C036,P010,W1,81,Air,Pending,,,,0
O-00343,5/31/2025,C010,P011,W2,36,Freight,Pending,,,,0
O-00344,5/31/2025,C080,P011,W1,12,Ground,Delivered,6/3/2025,3,,0
O-00345,3/29/2025,C047,P013,W3,2,Freight,Pending,,,,0
O-00346,4/19/2025,C016,P014,W1,10,Freight,In Transit,,,,0
O-00347,2/7/2025,C035,P008,W3,63,Ground,In Transit,,,,0
O-00348,2/4/2025,C041,P015,W1,93,Air,Pending,,,,0
O-00349,4/1/2025,C053,P009,W1,51,Air,Pending,,,,0
O-00350,6/18/2025,C097,P004,W2,32,Freight,Pending,,,,0
O-00351,4/11/2025,C050,P003,W1,20,Air,Delivered,4/15/2025,4,,0
O-00352,6/20/2025,C023,P001,W2,10,Ground,Delivered,6/27/2025,7,,0
O-00353,1/1/2025,C060,P008,W2,44,Air,Pending,,,,0
O-00354,2/2/2025,C011,P006,W1,59,Air,Delivered,2/7/2025,5,,0
O-00355,2/23/2025,C034,P011,W3,9,Freight,Delivered,3/1/2025,6,,0
